Model,Test,Best Iter,Time,Seed,Run CMD
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,0,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,1,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,2,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,3,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.2065,NDCG@5:0.1301,HR@10:0.3347,NDCG@10:0.1713,HR@20:0.4859,NDCG@20:0.2096,HR@50:0.6896,NDCG@50:0.2499",,,4,python main.py --model_name POP --train 0 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
POP,"0.2065,0.1301,0.3347,0.1713,0.4859,0.2096,0.6896,0.2499",,,,
,,,,,
,,,,,
,,,,,
